 -4.000000E+00 0.000000E+00 8.077402E+00 4.984790E-01 
 -3.957813E+00 1.871943E-04 7.918261E+00 5.579390E-01 
 -3.915625E+00 3.834558E-04 7.718582E+00 1.938010E-01 
 -3.873438E+00 5.875294E-04 7.580462E+00 4.270210E-01 
 -3.831250E+00 8.008312E-04 7.400901E+00 2.275970E-01 
 -3.789062E+00 1.022587E-03 7.265669E+00 4.532370E-01 
 -3.746875E+00 1.255753E-03 7.065323E+00 9.513000E-03 
 -3.704687E+00 1.497690E-03 6.954092E+00 4.386830E-01 
 -3.662500E+00 1.751891E-03 6.760664E+00 2.764400E-02 
 -3.620312E+00 2.015476E-03 6.657768E+00 5.036700E-01 
 -3.578125E+00 2.288119E-03 6.542154E+00 8.342460E-01 
 -3.535938E+00 2.573262E-03 6.384047E+00 7.216150E-01 
 -3.493750E+00 2.871744E-03 6.238957E+00 7.208790E-01 
 -3.451563E+00 3.188375E-03 6.038330E+00 1.464670E-01 
 -3.409375E+00 3.520872E-03 5.903075E+00 2.074650E-01 
 -3.367188E+00 3.870683E-03 5.745870E+00 3.064700E-02 
 -3.325000E+00 4.237416E-03 5.613788E+00 8.673100E-02 
 -3.282812E+00 4.619844E-03 5.498969E+00 2.971020E-01 
 -3.240625E+00 5.014723E-03 5.419134E+00 8.389610E-01 
 -3.198437E+00 5.431437E-03 5.252020E+00 4.896570E-01 
 -3.156250E+00 5.872970E-03 5.100294E+00 2.758570E-01 
 -3.114063E+00 6.333652E-03 5.003048E+00 5.884450E-01 
 -3.071875E+00 6.815457E-03 4.885975E+00 6.843490E-01 
 -3.029688E+00 7.323275E-03 4.751963E+00 5.924400E-01 
 -2.987500E+00 7.862545E-03 4.602902E+00 3.315850E-01 
 -2.945312E+00 8.424495E-03 4.522440E+00 7.382490E-01 
 -2.903125E+00 9.018658E-03 4.382191E+00 5.285580E-01 
 -2.860937E+00 9.648930E-03 4.252569E+00 4.066310E-01 
 -2.818750E+00 1.032233E-02 4.104445E+00 8.115500E-02 
 -2.776562E+00 1.103431E-02 3.996525E+00 1.391720E-01 
 -2.734375E+00 1.177936E-02 3.910460E+00 3.971730E-01 
 -2.692188E+00 1.257134E-02 3.780246E+00 1.950980E-01 
 -2.650000E+00 1.338967E-02 3.737957E+00 8.536560E-01 
 -2.607812E+00 1.425428E-02 3.620822E+00 7.451290E-01 
 -2.565625E+00 1.518076E-02 3.489738E+00 4.784360E-01 
 -2.523438E+00 1.615668E-02 3.408267E+00 6.891890E-01 
 -2.481250E+00 1.720550E-02 3.272202E+00 3.352770E-01 
 -2.439062E+00 1.831539E-02 3.188666E+00 4.878990E-01 
 -2.396875E+00 1.946898E-02 3.135722E+00 9.276780E-01 
 -2.354687E+00 2.073627E-02 2.960152E+00 1.223710E-01 
 -2.312500E+00 2.205126E-02 2.935107E+00 8.034810E-01 
 -2.270313E+00 2.346688E-02 2.808794E+00 4.530240E-01 
 -2.228125E+00 2.501552E-02 2.675685E+00 1.567700E-02 
 -2.185937E+00 2.666571E-02 2.599174E+00 1.253700E-01 
 -2.143750E+00 2.843085E-02 2.509120E+00 8.065100E-02 
 -2.101562E+00 3.025439E-02 2.483913E+00 6.654020E-01 
 -2.059375E+00 3.217215E-02 2.421146E+00 8.555170E-01 
 -2.017187E+00 3.421970E-02 2.340289E+00 8.456330E-01 
 -1.975000E+00 3.642212E-02 2.253353E+00 7.558170E-01 
 -1.932812E+00 3.883422E-02 2.143381E+00 4.164260E-01 
 -1.890625E+00 4.144727E-02 2.058218E+00 3.058780E-01 
 -1.848437E+00 4.417699E-02 2.024924E+00 6.947490E-01 
 -1.806250E+00 4.715070E-02 1.931637E+00 4.643540E-01 
 -1.764062E+00 5.034547E-02 1.865241E+00 4.834830E-01 
 -1.721875E+00 5.387197E-02 1.765447E+00 1.491930E-01 
 -1.679688E+00 5.747771E-02 1.764024E+00 7.791760E-01 
 -1.637500E+00 6.161612E-02 1.624635E+00 9.958000E-03 
 -1.595312E+00 6.573623E-02 1.652492E+00 8.937120E-01 
 -1.553125E+00 7.036071E-02 1.555199E+00 5.063330E-01 
 -1.510937E+00 7.517032E-02 1.535454E+00 8.748090E-01 
 -1.468750E+00 8.067940E-02 1.421034E+00 2.767560E-01 
 -1.426562E+00 8.649362E-02 1.385323E+00 4.460840E-01 
 -1.384375E+00 9.299949E-02 1.304537E+00 1.448650E-01 
 -1.342187E+00 9.952907E-02 1.315109E+00 7.375780E-01 
 -1.300000E+00 1.065517E-01 1.290182E+00 9.555240E-01 
 -1.257812E+00 1.144297E-01 1.218809E+00 6.890970E-01 
 -1.215625E+00 1.228277E-01 1.180313E+00 7.315840E-01 
 -1.173437E+00 1.326841E-01 1.074243E+00 7.837200E-02 
 -1.131250E+00 1.421096E-01 1.094066E+00 6.645300E-01 
 -1.089062E+00 1.528121E-01 1.058151E+00 6.734720E-01 
